"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"60","13118967","冠視傳播有限公司","臺北市松山區光復南路1號9樓之1","","5000000","0910520","1090616"
"61","13121766","婦幼聯合股份有限公司","臺北市松山區復興北路369號9樓之1","","2000000","0910527","1090622"
"62","13135522","東亞開發股份有限公司","臺北市大安區忠孝東路4段197號10樓之1","","100000000","0910705","1090615"
"63","13143699","開樂貿易有限公司","基隆市暖暖區暖西里暖暖街379巷130-2號","","7000000","0900309","1090620"
"64","13154581","創堃科技股份有限公司","高雄市三民區金陵街49號","","5000000","0900827","1090618"
"65","13166833","二勝營造股份有限公司","高雄市大寮區鳳屏二路383之7號","","6000000","0910304","1090623"
"66","13183657","隆昌國際企業有限公司","高雄市左營區文自路408巷30號1樓","","1000000","0910828","1090603"
"67","13195289","立德生物科技股份有限公司","高雄市三民區民族一路45號","","3000000","0920108","1090609"
"68","13195794","台資科技有限公司","高雄市左營區裕誠路439號1樓","","0","0920115","1090601"
"69","14072601","勤展股份有限公司","臺北市大同區承德路2段81號7樓之1","","10000000","0650531","1090605"
"70","15897052","冠勝彩色照相製版印刷股份有限公司","臺北市萬華區大理街157號3樓之4","","5000000","0700901","1090620"
"71","16002124","何洋企業有限公司","高雄市橋頭區德松里樹德路247號","","10000000","0860514","1090623"
"72","16013276","台灣莊揚實業有限公司","臺南市永康區埔園里龍埔街430巷33弄39號1樓","","5000000","0860524","1090609"
"73","16023367","政大國際有限公司","臺南市善化區文昌里益民寮18之2號","","10000000","0860603","1090629"
"74","16028237","一庭企業有限公司","臺中市北屯區松茂里松竹路三○六巷一○號一樓","","5000000","0860607","1090623"
"75","16034364","港悅股份有限公司","彰化縣鹿港鎮文開路六巷二十號","","5000000","0860614","1090617"
"76","16045904","聯錩電器有限公司","桃園市蘆竹區南竹路二段315巷34弄6號","","2200000","0860625","1090610"
"77","16061782","仕樺冷氣空調有限公司","高雄市鳳山區一甲里鳳南路十二號九樓","","2000000","0860710","1090602"
"78","16105873","台大企業管理顧問有限公司","高雄市三民區本元里1鄰皓東路215巷19號","","1000000","0860709","1090622"
"79","16109771","天悅工程有限公司","高雄市鳳山區瑞竹里博愛路39號1樓","","2000000","0860814","1090623"
"80","16120255","福茂鑑價顧問股份有限公司","高雄市苓雅區廣州1街153之5號11樓","","10000000","0861126","1090603"
"81","16123339","昭隆工程有限公司","高雄市楠梓區裕昌街171號12樓","","3000000","0861223","1090617"
"82","16150742","爾芙化粧品有限公司","臺北市大安區復興南路1段135巷27號2樓","","500000","0860826","1090601"
"83","16153038","方石有限公司","臺北市大安區敦化南路2段98號19樓之1","","5000000","0860901","1090624"
"84","16229184","正淯企業有限公司","臺中市南屯區黎明路2段186號1樓","","1000000","0860926","1090622"
"85","16263957","中凱有限公司","桃園市龜山區龜山里永吉街15號1樓","","2000000","0861108","1090608"
"86","16269447","淳景電訊科技有限公司","臺中市潭子區東寶里大德北路118號1樓","","500000","0861117","1090611"
"87","16271801","吉爾森科技有限公司","臺中市大里區東興里國光路二段704之8號","","1000000","0861119","1090622"
"88","16365954","鼎晟營造有限公司","新北市中和區圓通路162巷13號","","3000000","0870115","1090622"
"89","16389288","旭晟綜合有限公司","臺中市清水區中興里光復街33號","","3000000","0870226","1090605"
"90","16424124","羅雍企業有限公司","基隆市中正區正義里正義路2巷12號","","5000000","0870410","1090612"
"91","16459592","飛鋐科技股份有限公司","臺南市安南區溪頂里北安路2段32巷42號","","69740000","0870625","1090623"
"92","16459896","福井投資有限公司","高雄市前金區大同二路廿號9樓之1","","6000000","0870629","1090615"
"93","16467925","勝元科技有限公司","嘉義市美源里杭州3街25號1樓","","1000000","0870929","1090604"
"94","16479703","博勝發科技有限公司","高雄市三民區義安街15號","","3000000","0880318","1090623"
"95","16497435","喬晟鋼模有限公司","臺中市烏日區九德里長春街583巷28號1樓","","1000000","0870508","1090610"
"96","16520323","彩喆企業有限公司","新北市五股區凌雲路一段１５８巷５０弄１５號","","1000000","0870606","1090630"
"97","16529268","藝術苑實業有限公司","新北市泰山區工專路四五號一樓","","3000000","0870618","1090623"
"98","16556047","佳美國際食品廠有限公司","基隆市七堵區明德二路1巷12號4樓","","1800000","0870723","1090605"
"99","16568275","環瑜貿易有限公司","嘉義市東區短竹里光正街12巷7號","","2000000","0870807","1090615"
"100","16579203","德洲石材有限公司","臺南市歸仁區後巿里民權北路62號1樓","","1000000","0870821","1090608"
"101","16589407","宏麟國際科技有限公司","臺北市士林區中山北路7段124巷7號7樓","","7000000","0870526","1090622"
"102","16606834","風采錄音企業有限公司","臺北市大安區安和路1段49巷5號1樓","","2000000","0870716","1090608"
"103","16607067","維清有限公司","臺北市中山區德惠街198巷15號1樓","","10000000","0870716","1090612"
"104","16623313","新意室內裝修設計有限公司","桃園市八德區福興里廣興二路77號2樓","","1000000","0870904","1090620"
"105","16637702","富國微波通訊股份有限公司","臺北市松山區八德路3段225號9樓之7","","127597800","0870813","1090623"
"106","16646385","甫得機械有限公司","苗栗縣苑裡鎮玉田里6鄰國光巷53號4樓","","25000000","0870902","1090615"
